/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_PINO/wandb/run-20220627_220959-39v0emb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-dragon-13
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/39v0emb5

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.07144 L2 ic loss: 0.00768 L2 f loss: 0.55628 loss: 1.30911 :   0% 0/500 [00:02<?, ?it/s]
L2 data loss: 0.07144 L2 ic loss: 0.00768 L2 f loss: 0.55628 loss: 1.30911 :   0% 1/500 [00:02<19:51,  2.39s/it]
L2 data loss: 0.06751 L2 ic loss: 0.00744 L2 f loss: 0.02864 loss: 0.74101 :   0% 1/500 [00:04<19:51,  2.39s/it]
L2 data loss: 0.06751 L2 ic loss: 0.00744 L2 f loss: 0.02864 loss: 0.74101 :   0% 2/500 [00:04<17:10,  2.07s/it]
L2 data loss: 0.06448 L2 ic loss: 0.00711 L2 f loss: 0.03486 loss: 0.71516 :   0% 2/500 [00:05<17:10,  2.07s/it]
L2 data loss: 0.06448 L2 ic loss: 0.00711 L2 f loss: 0.03486 loss: 0.71516 :   1% 3/500 [00:05<16:14,  1.96s/it]
L2 data loss: 0.04161 L2 ic loss: 0.00449 L2 f loss: 0.10308 loss: 0.54162 :   1% 3/500 [00:07<16:14,  1.96s/it]
L2 data loss: 0.04161 L2 ic loss: 0.00449 L2 f loss: 0.10308 loss: 0.54162 :   1% 4/500 [00:07<15:45,  1.91s/it]
L2 data loss: 0.02268 L2 ic loss: 0.00249 L2 f loss: 0.14263 loss: 0.38188 :   1% 4/500 [00:09<15:45,  1.91s/it]
L2 data loss: 0.02268 L2 ic loss: 0.00249 L2 f loss: 0.14263 loss: 0.38188 :   1% 5/500 [00:09<15:29,  1.88s/it]
L2 data loss: 0.02010 L2 ic loss: 0.00222 L2 f loss: 0.12769 loss: 0.33975 :   1% 5/500 [00:11<15:29,  1.88s/it]
L2 data loss: 0.02010 L2 ic loss: 0.00222 L2 f loss: 0.12769 loss: 0.33975 :   1% 6/500 [00:11<15:17,  1.86s/it]
L2 data loss: 0.01859 L2 ic loss: 0.00205 L2 f loss: 0.11996 loss: 0.31612 :   1% 6/500 [00:13<15:17,  1.86s/it]
L2 data loss: 0.01859 L2 ic loss: 0.00205 L2 f loss: 0.11996 loss: 0.31612 :   1% 7/500 [00:13<15:08,  1.84s/it]
L2 data loss: 0.01728 L2 ic loss: 0.00191 L2 f loss: 0.10727 loss: 0.28959 :   1% 7/500 [00:14<15:08,  1.84s/it]
L2 data loss: 0.01728 L2 ic loss: 0.00191 L2 f loss: 0.10727 loss: 0.28959 :   2% 8/500 [00:14<15:01,  1.83s/it]
L2 data loss: 0.01565 L2 ic loss: 0.00173 L2 f loss: 0.09797 loss: 0.26307 :   2% 8/500 [00:16<15:01,  1.83s/it]
L2 data loss: 0.01565 L2 ic loss: 0.00173 L2 f loss: 0.09797 loss: 0.26307 :   2% 9/500 [00:16<14:56,  1.83s/it]
L2 data loss: 0.01403 L2 ic loss: 0.00155 L2 f loss: 0.08642 loss: 0.23444 :   2% 9/500 [00:18<14:56,  1.83s/it]
L2 data loss: 0.01403 L2 ic loss: 0.00155 L2 f loss: 0.08642 loss: 0.23444 :   2% 10/500 [00:18<14:51,  1.82s/it]
L2 data loss: 0.01268 L2 ic loss: 0.00140 L2 f loss: 0.07880 loss: 0.21263 :   2% 10/500 [00:20<14:51,  1.82s/it]
L2 data loss: 0.01268 L2 ic loss: 0.00140 L2 f loss: 0.07880 loss: 0.21263 :   2% 11/500 [00:20<14:47,  1.82s/it]
L2 data loss: 0.01166 L2 ic loss: 0.00129 L2 f loss: 0.07503 loss: 0.19809 :   2% 11/500 [00:22<14:47,  1.82s/it]
L2 data loss: 0.01166 L2 ic loss: 0.00129 L2 f loss: 0.07503 loss: 0.19809 :   2% 12/500 [00:22<14:44,  1.81s/it]
L2 data loss: 0.01087 L2 ic loss: 0.00120 L2 f loss: 0.07117 loss: 0.18588 :   2% 12/500 [00:23<14:44,  1.81s/it]
L2 data loss: 0.01087 L2 ic loss: 0.00120 L2 f loss: 0.07117 loss: 0.18588 :   3% 13/500 [00:23<14:40,  1.81s/it]
L2 data loss: 0.01020 L2 ic loss: 0.00113 L2 f loss: 0.06774 loss: 0.17537 :   3% 13/500 [00:25<14:40,  1.81s/it]
L2 data loss: 0.01020 L2 ic loss: 0.00113 L2 f loss: 0.06774 loss: 0.17537 :   3% 14/500 [00:25<14:37,  1.81s/it]
L2 data loss: 0.00964 L2 ic loss: 0.00106 L2 f loss: 0.06436 loss: 0.16610 :   3% 14/500 [00:27<14:37,  1.81s/it]
L2 data loss: 0.00964 L2 ic loss: 0.00106 L2 f loss: 0.06436 loss: 0.16610 :   3% 15/500 [00:27<14:34,  1.80s/it]
L2 data loss: 0.00921 L2 ic loss: 0.00101 L2 f loss: 0.06186 loss: 0.15899 :   3% 15/500 [00:29<14:34,  1.80s/it]
L2 data loss: 0.00921 L2 ic loss: 0.00101 L2 f loss: 0.06186 loss: 0.15899 :   3% 16/500 [00:29<14:31,  1.80s/it]
L2 data loss: 0.00882 L2 ic loss: 0.00097 L2 f loss: 0.05891 loss: 0.15199 :   3% 16/500 [00:30<14:31,  1.80s/it]
L2 data loss: 0.00882 L2 ic loss: 0.00097 L2 f loss: 0.05891 loss: 0.15199 :   3% 17/500 [00:30<14:29,  1.80s/it]
L2 data loss: 0.00849 L2 ic loss: 0.00093 L2 f loss: 0.05649 loss: 0.14611 :   3% 17/500 [00:32<14:29,  1.80s/it]
L2 data loss: 0.00849 L2 ic loss: 0.00093 L2 f loss: 0.05649 loss: 0.14611 :   4% 18/500 [00:32<14:26,  1.80s/it]
L2 data loss: 0.00822 L2 ic loss: 0.00090 L2 f loss: 0.05520 loss: 0.14197 :   4% 18/500 [00:34<14:26,  1.80s/it]
L2 data loss: 0.00822 L2 ic loss: 0.00090 L2 f loss: 0.05520 loss: 0.14197 :   4% 19/500 [00:34<14:24,  1.80s/it]
L2 data loss: 0.00799 L2 ic loss: 0.00088 L2 f loss: 0.05323 loss: 0.13755 :   4% 19/500 [00:36<14:24,  1.80s/it]
L2 data loss: 0.00799 L2 ic loss: 0.00088 L2 f loss: 0.05323 loss: 0.13755 :   4% 20/500 [00:36<14:21,  1.79s/it]
L2 data loss: 0.00779 L2 ic loss: 0.00086 L2 f loss: 0.05229 loss: 0.13443 :   4% 20/500 [00:38<14:21,  1.79s/it]
L2 data loss: 0.00779 L2 ic loss: 0.00086 L2 f loss: 0.05229 loss: 0.13443 :   4% 21/500 [00:38<14:18,  1.79s/it]
L2 data loss: 0.00762 L2 ic loss: 0.00084 L2 f loss: 0.05053 loss: 0.13088 :   4% 21/500 [00:39<14:18,  1.79s/it]
L2 data loss: 0.00762 L2 ic loss: 0.00084 L2 f loss: 0.05053 loss: 0.13088 :   4% 22/500 [00:39<14:16,  1.79s/it]
L2 data loss: 0.00746 L2 ic loss: 0.00082 L2 f loss: 0.04894 loss: 0.12768 :   4% 22/500 [00:41<14:16,  1.79s/it]
L2 data loss: 0.00746 L2 ic loss: 0.00082 L2 f loss: 0.04894 loss: 0.12768 :   5% 23/500 [00:41<14:13,  1.79s/it]
L2 data loss: 0.00734 L2 ic loss: 0.00081 L2 f loss: 0.04882 loss: 0.12623 :   5% 23/500 [00:43<14:13,  1.79s/it]
