/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_no_data/wandb/run-20220628_153225-32z3ob9o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-flower-19
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/32z3ob9o
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_no_data/wandb/run-20220628_153226-37036elt
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ancient-forest-20
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/37036elt

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.07278 L2 ic loss: 0.00775 L2 f loss: 0.74325 loss: 0.78199 :   0% 0/500 [00:01<?, ?it/s]
L2 data loss: 0.07278 L2 ic loss: 0.00775 L2 f loss: 0.74325 loss: 0.78199 :   0% 1/500 [00:01<15:16,  1.84s/it]
L2 data loss: 0.06767 L2 ic loss: 0.00746 L2 f loss: 0.07718 loss: 0.11448 :   0% 1/500 [00:03<15:16,  1.84s/it]
L2 data loss: 0.06767 L2 ic loss: 0.00746 L2 f loss: 0.07718 loss: 0.11448 :   0% 2/500 [00:03<15:05,  1.82s/it]
L2 data loss: 0.06765 L2 ic loss: 0.00746 L2 f loss: 0.06288 loss: 0.10018 :   0% 2/500 [00:05<15:05,  1.82s/it]
L2 data loss: 0.06765 L2 ic loss: 0.00746 L2 f loss: 0.06288 loss: 0.10018 :   1% 3/500 [00:05<14:58,  1.81s/it]
L2 data loss: 0.06765 L2 ic loss: 0.00746 L2 f loss: 0.03881 loss: 0.07610 :   1% 3/500 [00:07<14:58,  1.81s/it]
L2 data loss: 0.06765 L2 ic loss: 0.00746 L2 f loss: 0.03881 loss: 0.07610 :   1% 4/500 [00:07<14:53,  1.80s/it]
L2 data loss: 0.06765 L2 ic loss: 0.00746 L2 f loss: 0.02695 loss: 0.06424 :   1% 4/500 [00:08<14:53,  1.80s/it]
L2 data loss: 0.06765 L2 ic loss: 0.00746 L2 f loss: 0.02695 loss: 0.06424 :   1% 5/500 [00:08<14:49,  1.80s/it]
L2 data loss: 0.06764 L2 ic loss: 0.00746 L2 f loss: 0.01886 loss: 0.05615 :   1% 5/500 [00:10<14:49,  1.80s/it]
L2 data loss: 0.06764 L2 ic loss: 0.00746 L2 f loss: 0.01886 loss: 0.05615 :   1% 6/500 [00:10<14:47,  1.80s/it]
L2 data loss: 0.06764 L2 ic loss: 0.00746 L2 f loss: 0.01385 loss: 0.05114 :   1% 6/500 [00:12<14:47,  1.80s/it]
L2 data loss: 0.06764 L2 ic loss: 0.00746 L2 f loss: 0.01385 loss: 0.05114 :   1% 7/500 [00:12<14:44,  1.79s/it]
L2 data loss: 0.06763 L2 ic loss: 0.00746 L2 f loss: 0.01055 loss: 0.04784 :   1% 7/500 [00:14<14:44,  1.79s/it]
L2 data loss: 0.06763 L2 ic loss: 0.00746 L2 f loss: 0.01055 loss: 0.04784 :   2% 8/500 [00:14<14:40,  1.79s/it]
L2 data loss: 0.06761 L2 ic loss: 0.00745 L2 f loss: 0.00603 loss: 0.04330 :   2% 8/500 [00:16<14:40,  1.79s/it]
L2 data loss: 0.06761 L2 ic loss: 0.00745 L2 f loss: 0.00603 loss: 0.04330 :   2% 9/500 [00:16<14:38,  1.79s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00422 loss: 0.04149 :   2% 9/500 [00:17<14:38,  1.79s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00422 loss: 0.04149 :   2% 10/500 [00:17<14:36,  1.79s/it]
L2 data loss: 0.06759 L2 ic loss: 0.00745 L2 f loss: 0.00372 loss: 0.04098 :   2% 10/500 [00:19<14:36,  1.79s/it]
L2 data loss: 0.06759 L2 ic loss: 0.00745 L2 f loss: 0.00372 loss: 0.04098 :   2% 11/500 [00:19<14:33,  1.79s/it]
L2 data loss: 0.06759 L2 ic loss: 0.00745 L2 f loss: 0.00330 loss: 0.04056 :   2% 11/500 [00:21<14:33,  1.79s/it]
L2 data loss: 0.06759 L2 ic loss: 0.00745 L2 f loss: 0.00330 loss: 0.04056 :   2% 12/500 [00:21<14:31,  1.79s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00291 loss: 0.04017 :   2% 12/500 [00:23<14:31,  1.79s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00291 loss: 0.04017 :   3% 13/500 [00:23<14:28,  1.78s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00258 loss: 0.03985 :   3% 13/500 [00:25<14:28,  1.78s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00258 loss: 0.03985 :   3% 14/500 [00:25<14:26,  1.78s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00228 loss: 0.03955 :   3% 14/500 [00:26<14:26,  1.78s/it]
L2 data loss: 0.06760 L2 ic loss: 0.00745 L2 f loss: 0.00228 loss: 0.03955 :   3% 15/500 [00:26<14:25,  1.78s/it]
L2 data loss: 0.06761 L2 ic loss: 0.00745 L2 f loss: 0.00185 loss: 0.03912 :   3% 15/500 [00:28<14:25,  1.78s/it]
L2 data loss: 0.06761 L2 ic loss: 0.00745 L2 f loss: 0.00185 loss: 0.03912 :   3% 16/500 [00:28<14:23,  1.78s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00110 loss: 0.03838 :   3% 16/500 [00:30<14:23,  1.78s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00110 loss: 0.03838 :   3% 17/500 [00:30<14:22,  1.78s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00111 loss: 0.03839 :   3% 17/500 [00:32<14:22,  1.78s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00111 loss: 0.03839 :   4% 18/500 [00:32<14:20,  1.79s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00102 loss: 0.03830 :   4% 18/500 [00:33<14:20,  1.79s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00102 loss: 0.03830 :   4% 19/500 [00:33<14:18,  1.78s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00135 loss: 0.03863 :   4% 19/500 [00:35<14:18,  1.78s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00135 loss: 0.03863 :   4% 20/500 [00:35<14:17,  1.79s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00108 loss: 0.03835 :   4% 20/500 [00:37<14:17,  1.79s/it]
L2 data loss: 0.06762 L2 ic loss: 0.00746 L2 f loss: 0.00108 loss: 0.03835 :   4% 21/500 [00:37<14:14,  1.78s/it]
L2 data loss: 0.06761 L2 ic loss: 0.00745 L2 f loss: 0.00099 loss: 0.03827 :   4% 21/500 [00:39<14:14,  1.78s/it]
L2 data loss: 0.06761 L2 ic loss: 0.00745 L2 f loss: 0.00099 loss: 0.03827 :   4% 22/500 [00:39<14:12,  1.78s/it]
L2 data loss: 0.06759 L2 ic loss: 0.00745 L2 f loss: 0.00182 loss: 0.03908 :   4% 22/500 [00:41<14:12,  1.78s/it]
L2 data loss: 0.06759 L2 ic loss: 0.00745 L2 f loss: 0.00182 loss: 0.03908 :   5% 23/500 [00:41<14:10,  1.78s/it]
L2 data loss: 0.06753 L2 ic loss: 0.00745 L2 f loss: 0.00158 loss: 0.03881 :   5% 23/500 [00:42<14:10,  1.78s/it]
L2 data loss: 0.06753 L2 ic loss: 0.00745 L2 f loss: 0.00158 loss: 0.03881 :   5% 24/500 [00:42<14:09,  1.78s/it]
L2 data loss: 0.06738 L2 ic loss: 0.00743 L2 f loss: 0.00135 loss: 0.03849 :   5% 24/500 [00:44<14:09,  1.78s/it]
L2 data loss: 0.06738 L2 ic loss: 0.00743 L2 f loss: 0.00135 loss: 0.03849 :   5% 25/500 [00:44<14:07,  1.78s/it]
L2 data loss: 0.06721 L2 ic loss: 0.00741 L2 f loss: 0.00119 loss: 0.03824 :   5% 25/500 [00:46<14:07,  1.78s/it]
L2 data loss: 0.06721 L2 ic loss: 0.00741 L2 f loss: 0.00119 loss: 0.03824 :   5% 26/500 [00:46<14:06,  1.79s/it]
L2 data loss: 0.06712 L2 ic loss: 0.00740 L2 f loss: 0.00110 loss: 0.03809 :   5% 26/500 [00:48<14:06,  1.79s/it]
L2 data loss: 0.06712 L2 ic loss: 0.00740 L2 f loss: 0.00110 loss: 0.03809 :   5% 27/500 [00:48<14:05,  1.79s/it]
L2 data loss: 0.06710 L2 ic loss: 0.00740 L2 f loss: 0.00096 loss: 0.03795 :   5% 27/500 [00:50<14:05,  1.79s/it]
L2 data loss: 0.06710 L2 ic loss: 0.00740 L2 f loss: 0.00096 loss: 0.03795 :   6% 28/500 [00:50<14:04,  1.79s/it]
L2 data loss: 0.06723 L2 ic loss: 0.00741 L2 f loss: 0.00057 loss: 0.03764 :   6% 28/500 [00:51<14:04,  1.79s/it]
L2 data loss: 0.06723 L2 ic loss: 0.00741 L2 f loss: 0.00057 loss: 0.03764 :   6% 29/500 [00:51<14:02,  1.79s/it]
L2 data loss: 0.06728 L2 ic loss: 0.00742 L2 f loss: 0.00052 loss: 0.03761 :   6% 29/500 [00:53<14:02,  1.79s/it]
L2 data loss: 0.06728 L2 ic loss: 0.00742 L2 f loss: 0.00052 loss: 0.03761 :   6% 30/500 [00:53<14:01,  1.79s/it]
L2 data loss: 0.06723 L2 ic loss: 0.00741 L2 f loss: 0.00053 loss: 0.03759 :   6% 30/500 [00:55<14:01,  1.79s/it]
L2 data loss: 0.06723 L2 ic loss: 0.00741 L2 f loss: 0.00053 loss: 0.03759 :   6% 31/500 [00:55<13:59,  1.79s/it]
L2 data loss: 0.06717 L2 ic loss: 0.00741 L2 f loss: 0.00053 loss: 0.03756 :   6% 31/500 [00:57<13:59,  1.79s/it]
L2 data loss: 0.06717 L2 ic loss: 0.00741 L2 f loss: 0.00053 loss: 0.03756 :   6% 32/500 [00:57<13:58,  1.79s/it]
L2 data loss: 0.06707 L2 ic loss: 0.00739 L2 f loss: 0.00055 loss: 0.03752 :   6% 32/500 [00:59<13:58,  1.79s/it]
L2 data loss: 0.06707 L2 ic loss: 0.00739 L2 f loss: 0.00055 loss: 0.03752 :   7% 33/500 [00:59<13:56,  1.79s/it]
L2 data loss: 0.06685 L2 ic loss: 0.00737 L2 f loss: 0.00059 loss: 0.03744 :   7% 33/500 [01:00<13:56,  1.79s/it]
L2 data loss: 0.06685 L2 ic loss: 0.00737 L2 f loss: 0.00059 loss: 0.03744 :   7% 34/500 [01:00<13:54,  1.79s/it]
L2 data loss: 0.06638 L2 ic loss: 0.00732 L2 f loss: 0.00070 loss: 0.03729 :   7% 34/500 [01:02<13:54,  1.79s/it]
L2 data loss: 0.06638 L2 ic loss: 0.00732 L2 f loss: 0.00070 loss: 0.03729 :   7% 35/500 [01:02<13:52,  1.79s/it]
L2 data loss: 0.06544 L2 ic loss: 0.00721 L2 f loss: 0.00097 loss: 0.03704 :   7% 35/500 [01:04<13:52,  1.79s/it]
